"","idindicador","iddepto","nomdepto","idmpio","nommpio","year","value"
"3433","ttdiesti",18,"la guajira",NA,"la jagua del pilar",2006,22.91
"3434","pcrparin",29,"tolima",440,"suarez",2006,98.04
"3435","ttdiesti",30,"valle del cauca",143,"candelaria",2006,16.05
"3436","ttdiesti",10,"casanare",197,"villanueva",2006,37.35
"3437","ttdiesti",14,"cundinamarca",553,"paime",2006,29.37
"3438","pcrparin",25,"risaralda",842,"guatica",2006,98.44
"3439","ttdiesti",14,"cundinamarca",597,"villa de san diego de ubate",2006,13.06
"3440","ttdiesti",9,"caqueta",377,"el doncello",2006,25.48
"3441","pcrparin",6,"boyaca",241,"iza",2006,100
"3442","pcrparin",4,"atlantico",141,"barranquilla",2006,99.4
"3443","pcrparin",22,"norte de santander",NA,"silos",2006,96.34
"3444","pcrparin",27,"santander",326,"chima",2006,93.18
"3445","ttdiesti",17,"huila",616,"acevedo",2006,30.54
"3446","pcrparin",11,"cauca",412,"cajibio",2006,73.78
"3447","ttdiesti",22,"norte de santander",779,"cacota",2006,28.34
"3448","pcrparin",19,"magdalena",671,"guamal",2006,85.39
"3449","pcrparin",28,"sucre",962,"sincelejo",2006,98.98
"3450","pcrparin",4,"atlantico",149,"palmar de varela",2006,97.92
"3451","ttdiesti",14,"cundinamarca",493,"anolaima",2006,16.96
"3452","pcrparin",22,"norte de santander",774,"abrego",2006,99.57
"3453","pcrparin",17,"huila",630,"isnos",2006,97.73
"3454","pcrparin",28,"sucre",NA,"covenas",2006,99.53
"3455","pcrparin",6,"boyaca",269,"pisba",2006,100
"3456","ttdiesti",6,"boyaca",224,"corrales",2006,16.57
"3457","pcrparin",21,"narino",202,"belen",2006,92.21
"3458","ttdiesti",2,"antioquia",40,"caucasia",2006,21.09
"3459","ttdiesti",5,"bolivar",172,"el carmen de bolivar",2006,33.22
"3460","pcrparin",11,"cauca",416,"el tambo",2006,73.56
"3461","pbrmivih",6,"boyaca",NA,NA,2006,NA
"3462","pbehtaco",11,"cauca",NA,NA,2006,NA
"3463","ttdiesti",12,"cesar",445,"aguachica",2006,21.77
"3464","ttdiesti",15,"guainia",NA,"puerto colombia ",2006,38.71
"3465","pcrparin",5,"bolivar",NA,"norosi",2006,NA
"3466","ttdiesti",21,"narino",731,"francisco pizarro",2006,30.72
"3467","pcrparin",24,"quindio",832,"genova",2006,99.2
"3468","ttdiesti",21,"narino",756,"pupiales",2006,22.84
"3469","cgrnacim",14,"cundinamarca",NA,NA,2006,23635
"3470","pcrparin",21,"narino",725,"cumbal",2006,86.92
"3471","ttdiesti",15,"guainia",NA,"san felipe ",2006,37.61
"3472","ctrmormt",11,"cauca",NA,NA,2006,17
"3473","pgeembar",19,"magdalena",NA,NA,2006,NA
"3474","pcrparin",6,"boyaca",275,"sachica",2006,90.14
"3475","ttdiesti",2,"antioquia",20,"arboletes",2006,26.04
"3476","pcrparin",10,"casanare",388,"aguazul",2006,99.14
"3477","rtrmorpu",32,"vichada",NA,NA,2006,175.13
"3478","pbepredg",6,"boyaca",NA,NA,2006,NA
"3479","rgrtgfec",21,"narino",NA,NA,2006,NA
"3480","ptrldeng",11,"cauca",NA,NA,2006,NA
"3481","pcrparin",22,"norte de santander",810,"tibu",2006,98.83
"3482","ttdiesti",19,"magdalena",NA,"chibolo",2006,28.68
"3483","ttdiesti",27,"santander",373,"albania",2006,27.22
"3484","ttdiesti",2,"antioquia",19,"apartado",2006,14.41
"3485","pcrparin",21,"narino",759,"samaniego",2006,94.99
"3486","ttdiesti",13,"choco",473,"bajo baudo",2006,53.7
"3487","caelacex",22,"norte de santander",NA,NA,2006,NA
