"";"idindicador";"iddepto";"nomdepto";"idmpio";"nommpio";"year";"idindicador"
"265";"ttdiesti";5;"antioquia";5893;"yondo";"2005";24,45
"266";"pbepredg";20;"cesar";NA;NA;"2005";NA
"267";"pcrparin";47;"magdalena";47707;"santa ana";"2005";90,03
"268";"ttdiesti";76;"valle del cauca";76895;"zarzal";"2005";16,98
"269";"ttdiesti";52;"narino";52694;"san pedro de cartago";"2005";24,91
"270";"ttdiesti";5;"antioquia";5021;"alejandria";"2005";20,4
"271";"ttdiesti";8;"atlantico";8606;"repelon";"2005";17,33
"272";"cgrnacim";11;"bogota";NA;NA;"2005";610
"273";"pcrparin";15;"boyaca";15820;"topaga";"2005";96,3
"274";"ttdiesti";23;"cordoba";NA;NA;"2005";28,1789394
"275";"pcrparin";54;"n.santander";54313;"gramalote";"2005";87,5
"276";"ttdiesti";68;"santander";68327;"guepsa";"2005";24,17
"277";"pbepredc";76;"valle del cauca";NA;NA;"2005";NA
"278";"ttdiesti";25;"cundinamarca";25898;"zipacon";"2005";21,12
"279";"pcrparin";68;"santander";68549;"pinchote";"2005";100
"280";"ttdiesti";25;"cundinamarca";25777;"supata";"2005";18,05
"281";"ttdiesti";68;"santander";68255;"el playon";"2005";20,61
"282";"pcrparin";73;"tolima";73349;"honda";"2005";96,82
"283";"ttdiesti";13;"bolivar";13468;"mompos";"2005";28,38
"284";"pcrparin";18;"caqueta";18753;"san vicente del caguan";"2005";89,2
"285";"ttdiesti";20;"cesar";20175;"chimichagua";"2005";29,79
"286";"rtrmorpu";17;"caldas";NA;NA;"2005";35,51
"287";"ttdiesti";68;"santander";68217;"coromoro";"2005";25,6
"288";"ttdiesti";5;"antioquia";5266;"envigado";"2005";7,84
"289";"pbehtaco";23;"cordoba";NA;NA;"2005";NA
"290";"rtrmorpu";97;"vaupes";NA;NA;"2005";0
"291";"ttdiesti";15;"boyaca";15135;"campohermoso";"2005";22,23
"292";"ttdiesti";25;"cundinamarca";NA;NA;"2005";15,37452093
"293";"pcrparin";68;"santander";68770;"suaita";"2005";97,78
"294";"pcrparin";15;"boyaca";15001;"tunja";"2005";99,63
"295";"ctrmormt";91;"amazonas";NA;NA;"2005";2
"296";"pcrparin";25;"cundinamarca";25862;"vergara";"2005";94,67
